Timestamp,Device Type,Channel,Type,Value
2024-11-03 16:54:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:55:59,DI-245,2,K,24.901943999999958
2024-11-03 16:55:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:55:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:55:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:56:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:56:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:56:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:56:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,2,K,24.901943999999958
2024-11-03 16:57:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:57:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,2,K,24.901943999999958
2024-11-03 16:58:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,2,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:58:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:59:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:59:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:59:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:59:00,DI-245,1,K,-199.99782400000004
2024-11-03 16:59:01,DI-245,2,K,25.093838000000005
2024-11-03 16:59:01,DI-245,2,K,-199.99782400000004
2024-11-03 16:59:01,DI-245,2,K,-199.99782400000004
2024-11-03 16:59:01,DI-245,2,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,2,K,25.28573199999994
2024-11-03 17:00:01,DI-245,2,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,2,K,-199.99782400000004
2024-11-03 17:00:01,DI-245,2,K,-199.99782400000004
2024-11-03 17:01:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:01:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:01:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:01:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:01:02,DI-245,2,K,25.28573199999994
2024-11-03 17:01:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:01:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:01:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:02:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:02:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:02:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:02:01,DI-245,1,K,-199.99782400000004
2024-11-03 17:02:02,DI-245,2,K,25.28573199999994
2024-11-03 17:02:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:02:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:02:02,DI-245,2,K,-199.99782400000004
2024-11-03 17:05:40,DI-1100,0,CH-0,0.0
2024-11-03 17:05:40,DI-1100,0,CH-1,-0.0146484375
2024-11-03 17:05:40,DI-1100,0,CH-2,-0.009765625
2024-11-03 17:05:40,DI-1100,0,CH-3,0.0390625
2024-11-03 17:05:40,DI-245,1,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,1,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,1,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,1,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,2,K,25.381678999999963
2024-11-03 17:05:40,DI-245,2,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,2,K,-199.99782400000004
2024-11-03 17:05:40,DI-245,2,K,-199.99782400000004
2024-11-03 17:07:49,DI-1100,0,CH-0,0.01953125
2024-11-03 17:07:49,DI-1100,0,CH-1,0.1171875
2024-11-03 17:07:49,DI-1100,0,CH-2,0.048828125
2024-11-03 17:07:49,DI-1100,0,CH-3,0.01953125
2024-11-03 17:07:50,DI-245,2,K,25.093838000000005
2024-11-03 17:07:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:07:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:08:50,DI-1100,0,CH-0,-0.009765625
2024-11-03 17:08:50,DI-1100,0,CH-1,0.0244140625
2024-11-03 17:08:50,DI-1100,0,CH-2,0.0390625
2024-11-03 17:08:50,DI-1100,0,CH-3,0.01953125
2024-11-03 17:08:50,DI-245,2,K,25.381678999999963
2024-11-03 17:08:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:08:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:09:50,DI-1100,0,CH-0,0.0
2024-11-03 17:09:50,DI-1100,0,CH-1,-0.01953125
